 0	0.017	0.001	0.001	  0.999	0.001	  0.999	0.999	  0.001	0.999	
 1	0.033	0.002	0.002	  0.998	0.002	  0.998	0.998	  0.002	0.998	
 2	0.050	0.003	0.003	  0.997	0.003	  0.997	0.997	  0.003	0.997	
 3	0.067	0.004	0.004	  0.996	0.004	  0.996	0.996	  0.004	0.996	
 4	0.083	0.005	0.005	  0.995	0.005	  0.995	0.995	  0.005	0.995	
 5	0.100	0.006	0.006	  0.994	0.006	  0.994	0.994	  0.006	0.994	
 6	0.117	0.008	0.008	  0.992	0.008	  0.992	0.992	  0.008	0.992	
 7	0.133	0.009	0.009	  0.991	0.009	  0.991	0.991	  0.009	0.991	
 8	0.150	0.010	0.010	  0.990	0.010	  0.990	0.990	  0.010	0.990	
 9	0.167	0.011	0.011	  0.989	0.011	  0.989	0.989	  0.011	0.989	
